,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,Fecha de Verificacion,Número de PERMISO otorgado por la CRE,Número de Estacion,Razón Social,ESTADO,MUNCIPIO,TOTAL DE INSTUMENTOS (MANGUERAS) VERIFICADOS,TOTAL DE INSTUMENTOS (MANGUERAS) INMOVILIZADOS,CAUSAS DE INMOVILIZACION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dirección,Colonia,Código Postal,
11,1/4/23,PL/2202/EXP/ES/2015,7959,MARREGO. S. A. DE C. V.,MEXICO,CHIMALHUACÁN,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROLONGACIÓN AVENIDA DEL PEÑON ESQUINA ACUITLA S/N,ACUITLAPILCO ,56364,
12,1/4/23,PL/23253/EXP/ES/2020,FF,SERVICIO CÚPULA. S. A. DE C. V.,MEXICO,CHICOLOAPAN,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CALLE EMILIANO ZAPATA. NO. 15-B LOTE 21,SANTA ROSA (POTRERITO),56376,
13,1/5/23,PL/10293/EXP/ES/2015,53,SERVICIO CLAVERIA. S. A. DE C. V.,CIUDAD DE MÉXICO,AZCAPOTZALCO,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. CLAVERIA NO. 27,CLAVERIA,2080,
14,1/5/23,PL/6366/EXP/ES/2015,3253,GASOSET. S. A. DE C. V.,CIUDAD DE MÉXICO,MIGUEL HIDALGO,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. MARINA NACIONAL NO. 191,AHUEHUETES,11410,
15,1/5/23,PL/5299/EXP/ES/2015,3615,SERVICIO HERMANOS SILVA. S. A. DE C. V.,CIUDAD DE MÉXICO,MIGUEL HIDALGO,22,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAGO HIELMAR NO. 1 ESQ. NAUR,REFORMA PENSIL,11320,
16,1/6/23,PL/2443/EXP/ES/2015,2818,GRUPO MACRUZ. S. A. DE C. V.,CIUDAD DE MÉXICO,BENITO JUÁREZ,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CUMBRES DE MALTRATA NO.462,DEL PERIODISTA FRANCISCO ZARCO,3620,
17,1/6/23,PL/4542/EXP/ES/2015,5133,CONSORCIO GASOLINERO PLUS. S. A. DE C. V.,CIUDAD DE MÉXICO,BENITO JUÁREZ,26,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. UNIVERSIDAD NO. 1291 ESQ. COYOACAN,DEL VALLE,3240,
18,1/6/23,PL/6789/EXP/ES/2015,2829,SERVICIO MORENO PLUTARCO. S. A.,CIUDAD DE MÉXICO,IZTAPALAPA,12,12,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,AV. PLUTARCO ELIAS CALLES NO. 1918,BANJIDAL,9450,
19,1/4/23,PL/9443/EXP/ES/2015,8280,ARAS LOS REYES. S. A. DE C. V.,MEXICO,CHIMALHUACÁN,12,1,0,0,1,11.81,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA MEXICO-TEXCOCO KM. 25.5,FRANCISCO VILLA,56370,
20,1/4/23,PL/7524/EXP/ES/2015,12262,SERVICIO EL ONCE. S. A. DE C. V.,MEXICO,LA PAZ,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA FEDERAL MÉXICO-TEXCOCO KM. 21.5,TECAMACHALCO,56400,
21,1/4/23,PL/5834/EXP/ES/2015,7861,FERTONIO. S. A. DE C. V.,MEXICO,NEZAHUALCÓYOTL,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. PANTITLAN NO. 879,REFORMA SEGUNDA SECCION,57840,
22,1/5/23,PL/6956/EXP/ES/2015,10526,GAS 122. S. A. DE C. V.,CIUDAD DE MÉXICO,AZCAPOTZALCO,24,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PONIENTE 122 NO. 672,LAS ALINAS,2360,
23,1/5/23,PL/21028/EXP/ES/2018,12847,SERVICIO EL ONCE. S. A. DE C. V.,CIUDAD DE MÉXICO,AZCAPOTZALCO,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CALLE PINO NO. 623 ESQUINA ANTONIO VALERIANO,EL ARENAL,2980,
24,1/5/23,PL/4073/EXP/ES/2015,5753,CONTROLADORA DE ESTACIONES DE SERVICIO. S. A. DE C. V.,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIGUEL PLANAS NO. 51,VALLEJO PONIENTE,7790,
25,1/6/23,PL/1156/EXP/ES/2015,5956,SERVICIO GASOLINERO XOLA. S. A. DE C. V.,CIUDAD DE MÉXICO,BENITO JUÁREZ,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLVD. XOLA EJE 4 SUR NO. 1403,NARVARTE ORIENTE,3020,
26,1/6/23,PL/4252/EXP/ES/2015,181,GAS ROAN. S. A. DE C. V.,CIUDAD DE MÉXICO,BENITO JUÁREZ,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SORIA NO. 6,ALAMOS,3400,
27,1/4/23,PL/1862/EXP/ES/2015,10636,CAPRIGO. S. A. DE C. V.,MEXICO,TLALMANALCO,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA MÉXICO-CUAUTLA KM47.5,MAGUEYAL II,56700,
28,1/4/23,PL/10995/EXP/ES/2015,238,GASOLINERIA EL ÁGUILA. S. A. DE C. V.,MEXICO,CHALCO,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA MEXICO-CUAUTLA KM. 38+500 ,GRANJAS DE CHALCO,56600,
29,1/4/23,PL/1831/EXP/ES/2015,7490,CORPOSTAR. S. A. DE C. V.,MEXICO,CHALCO,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARR. MÉXICO-CUAUTLA Y CARR. SAN GREGORIO CUAUTZINGO-CHALCO S/N,SAN GERGORIO,56600,
30,1/5/23,PL/1992/EXP/ES/2015,11849,ORIGAS. S. A. DE C. V.,MEXICO,CHALCO,30,2,0,0,0,0.00,0.00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CALLE CARRETERA CHALCO SAN MARTIN S/N,SAN GREGORIO CUAUTZINGO,56640,
31,1/5/23,PL/4385/EXP/ES/2015,10192,ABASTECEDORA SUZUKA. S. A. DE C. V.,MEXICO,CHALCO,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA CHALCO-SANTA MARIA HUEXOCULCO S/N,SAN GREGORIO CUAUTZINGO,56600,
32,1/5/23,PL/1864/EXP/ES/2015,6527,SERVICIO FRESNOS. S. A. DE C. V.,MEXICO,CHALCO,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. CUAUHTEMOC ESQ.CON FELIPE ÁNGELES S/N,EMILIANO ZAPATA,56600,
33,1/6/23,PL/6894/EXP/ES/2015,3931,GASO MEX AUTOPISTA 5 DE MAYO KM. 30.3. S. A. DE C. V.,MEXICO,IXTAPALUCA,48,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUTOPISTA MEXICO-PUEBLA KM. 30.3,ALFREDO DEL MAZO,56577,
34,1/6/23,PL/12871/EXP/ES/2015,8604,SUMINISTRADORA DE COMBUSTIBLES DE CHALCO. S. A. DE C. V.,MEXICO,CHALCO,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LIBRAMIENTO CARRETERA FEDERAL MEXICO CUAUTLA KM.5+167,SAN GREGORIO CUAUTZINGO,56640,
35,1/6/23,PL/6902/EXP/ES/2015,4072,GASOLMEX DISTRIBUIDOR DE PETROLÍFEROS. S. A. DE C. V.,MEXICO,IXTAPALUCA,36,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUTOPISTA MEXICO PUEBLA KM. 29.5,ALFREDO DEL MAZO,56577,
36,1/4/23,PL/5512/EXP/ES/2015,12070,GRUPO RAYARO 2005. S. A. DE C. V.,MEXICO,TECÁMAC,18,6,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,AV. VIA REAL. PARCELA 116. LOTE 1,EJIDO SAN FRANCISCO CUAUTLIQUIXCO,55760,
37,1/4/23,PL/1580/EXP/ES/2015,9409,INMOBILIARIA SUGARSU. S. A. DE C. V.,MEXICO,ECATEPEC DE MORELOS,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA LIBRE MEXICO-PACHUCA KM. 29.5,CIUDAD CUATEMOC ,55066,
38,1/4/23,PL/9706/EXP/ES/2015,5310,SERVICIO CHICONAHUTLA. S. A. DE C. V.,MEXICO,ECATEPEC DE MORELOS,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA VIEJA MEXICO-PACHUCA KM. 28,SANTA MARIA CHICONAUTLA,55065,
39,1/5/23,PL/13126/EXP/ES/2016,6076,INMOBILIARIA MILLOALTO. S. A. DE C. V.,CIUDAD DE MÉXICO,MILPA ALTA,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLVD. JOSE LOPEZ PORTILLO NO. 657-B,SAN FRANCISCO TECOXPA,12700,
40,1/5/23,PL/5072/EXP/ES/2015,251,OLESMA. S. A. DE C. V.,CIUDAD DE MÉXICO,MILPA ALTA,22,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. NUEVO LEON NO. 167,BARRIO SANTA CRUZ,12000,
41,1/5/23,PL/1879/EXP/ES/2015,11661,SERVICIO GORM. S. A. DE C. V.,MEXICO,VALLE DE CHALCO SOLIDARIDAD,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. EMILIANO ZAPATA NO.146 MZ. 555 LOTE. 8,SAN ISIDRO,56617,
42,1/6/23,PL/9127/EXP/ES/2015,10845,SERVICIO 1 DE MAYO. S. A. DE C. V.,MEXICO,ZUMPANGO,24,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA ZUMPANGO LOS REYES KM 10 S/N,SAN SEBASTIAN,55600,
43,1/6/23,PL/3728/EXP/ES/2015,10331,IMPULSO PETROLERO. S. A. DE C. V.,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. INSURGENTES NORTE 1037,GUADALUPE INSURGENTES,7870,
44,1/6/23,PL/20954/EXP/ES/2018,SN,ESTACIÓN DE SERVICIO EULALIO GUZMÁN. S. A. DE C. V.,MEXICO,TECÁMAC,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTRONQUE TECÁMAC MÉXICO - PACHUCA S/N,TECÁMAC CENTRO,55740,
45,1/4/23,PL/6485/EXP/ES/2015,5139,SERVICIO GARAY. S. A. DE C. V.,CIUDAD DE MÉXICO,IZTAPALAPA,26,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CALLE BENITO JUAREZ NO. 1,PRESIDENTES DE MEXICO,9700,
46,1/4/23,PL/2904/EXP/ES/2015,10817,SERVICIO LOS TRES COMPADRES. S. A. DE C. V.,CIUDAD DE MÉXICO,IZTAPALAPA,24,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. LEYES DE REFORMA NO. 57,LEYES DE REFORMA 3A. SECC.,9310,
47,1/4/23,PL/1125/EXP/ES/2015,2799,SERVICIO MARVIC. S. A. DE C. V.,CIUDAD DE MÉXICO,IZTAPALAPA,32,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CALZ. IGNACIO ZARAGOZA NO. 1350,JUÁN ESCUTIA,9100,
48,1/5/23,PL/7705/EXP/ES/2015,2516,SÚPER SERVICIO ECHEGARAY. S. A. DE C. V.,MEXICO,NAUCALPAN DE JUÁREZ,32,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIA GUSTAVO BAZ NO. 321,HACIENDA DE ECHEGARAY,53300,
49,1/5/23,PL/1753/EXP/ES/2015,6097,ADMINISTRADORA DE ACTIVOS Y SERVICIOS. S. A. DE C. V.,MEXICO,TLALNEPANTLA DE BAZ,26,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIGUEL HIDALGO NO.39,SAN LUCAS TEPETLACALCO,54055,
50,1/6/23,PL/12731/EXP/ES/2015,12334,SERVIEXPRESS ABASTOS DEL SUR. S. A. DE C. V.,MEXICO,CUAUTITLÁN IZCALLI,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUTOPISTA MEXICO-QUERETARO KM. 31.,SAN MARTIN TEPETIXTLAN,54763,
51,1/6/23,PL/11339/EXP/ES/2015,6025,OPERADORA DE MINIESTACIONES COMBUSERV. S. A. DE C. V.,MEXICO,CUAUTITLÁN IZCALLI,26,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUTOPISTA MEXICO-QUERETARO KM. 37,HACIENDA DEL PARQUE SECCION II,54769,
52,1/6/23,PL/3106/EXP/ES/2015,9547,SERVICIO SANMO. S. A. DE C. V.,MEXICO,CUAUTITLÁN IZCALLI,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. TEJOCOTES S/N LOTE 18 A-1,FRACC. IND. SAN MARTÍN OBISPO,54769,
53,1/4/23,PL/1063/EXP/ES/2015,10326,PERSIMOBILE. S. A. DE C. V.,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. ING. EDUARDO MOLINA NO. 422,AMPLIACIÓN MICHOACANA,15250,
54,1/4/23,PL/4690/EXP/ES/2015,5412,ESTACIONES DE ECOLOGICAS DE SERVICIO. S. A. DE C. V.,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,20,8,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,AV. 412 NO. 1,VILLA DE ARAGON,7570,
55,1/4/23,PL/2347/EXP/ES/2015,7798,SERVICIO CIUDAD LAGO. S. A. DE C. V.,MEXICO,NEZAHUALCÓYOTL,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. PEÑON TEXCOCO NO.1,CIUDAD LAGO,57180,
56,1/5/23,PL/698/EXP/ES/2015,9963,TULTIESTACIÓN. S. A. DE C. V.,MEXICO,TULTITLÁN,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. MEXIQUENSE S/N,LOS PORTALES,54910,
57,1/5/23,PL/6524/EXP/ES/2015,6504,GASOMER. S. A. DE C. V.,MEXICO,COACALCO DE BERRIOZÁBAL,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. JOSE LOPEZ PORTILLO NO. 37,COACALCO,55700,
58,1/5/23,PL/6682/EXP/ES/2015,6826,SERVICIO JOPARLS. S. A. DE C. V.,MEXICO,COACALCO DE BERRIOZÁBAL,28,2,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,VIA JOSE LOPEZ PORTILLO NO. 59,COACALCO,55700,
59,1/6/23,PL/7083/EXP/ES/2015,2942,SERVICIO CUATRO VIENTOS VAZQUEZ. S. A. DE C. V.,MEXICO,IXTAPALUCA,34,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA MEXICO-PUEBLA KM. 31.200 ,IXTAPALUCA,56530,
60,1/6/23,PL/1841/EXP/ES/2015,7248,GALA GAS. S. A. DE C. V.,MEXICO,IXTAPALUCA,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. CUAUHTEMOC NO.2000,SANTA BÁRBARA,56530,
61,1/6/23,PL/1736/EXP/ES/2015,3504,SERVICIO SANTA BARBARA. S. A. DE C. V.,MEXICO,IXTAPALUCA,46,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KM. 29.5 CARRETERA FEDERAL MÉXICO -PUEBLA S/N,SANTA BÁRBARA,56538,
62,1/4/23,PL/4659/EXP/ES/2015,11611,SOLUCIONES P&L. S. A. P. I. DE C. V.,MEXICO,NEZAHUALCÓYOTL,28,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. CHIMALHUACAN NO. 234,AGUA AZUL,57500,
63,1/4/23,PL/10319/EXP/ES/2015,10853,SERVICIO HARRIER. S. A. DE C. V.,MEXICO,NEZAHUALCÓYOTL,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. CARMELO PEREZ NO. 13,LA PERLA,57820,
64,1/4/23,PL/4663/EXP/ES/2015,8043,SOLUCIONES P&L. S. A. P. I. DE C. V.,MEXICO,NEZAHUALCÓYOTL,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. TEXCOCO NO. 340,METROPOLITANA SEGUNDA SECCION,57740,
65,1/5/23,PL/21792/EXP/ES/2018,SN,SERVICENTRO PANTITLAN. S. A. DE C. V.,MEXICO,NEZAHUALCÓYOTL,36,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVENIDA PANTITLÁN NO. 676,LA PERLA AMPLIACIÓN,57830,
66,1/5/23,PL/6946/EXP/ES/2015,2770,GAS ACATITLA. S. A. DE C. V.,CIUDAD DE MÉXICO,IZTAPALAPA,36,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CALZADA IGNACIO ZARAGOZA NO. 2995,SANTA MARTHA ACATITLA,9510,
67,1/5/23,PL/2201/EXP/ES/2015,7263,SERVICIO MADELL. S. A. DE C. V.,MEXICO,CHIMALHUACÁN,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVENIDA DEL PEÑON LOTE 2. 3 Y 4 S/N,XOCHITENCO,56334,
68,1/6/23,PL/22909/EXP/ES/2019,FF,SERVICIO RESERVA AJUSCO. S. A. DE C. V.,CIUDAD DE MÉXICO,TLALPAN,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVENIDA MÉXICO - AJUSCO. NO. 621,MAGDALENA PETLACALCO,14480,
69,1/6/23,PL/7851/EXP/ES/2015,3505,NACIONAL DE COMBUSTIBLES Y LUBRICANTES. S. A. DE C. V.,CIUDAD DE MÉXICO,TLALPAN,24,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TIZMIN NO. 121,HEROES DE PADIERNA,14200,
70,1/6/23,PL/2143/EXP/ES/2015,8291,SERVICIO ROBLEDO. S. A. DE C. V.,CIUDAD DE MÉXICO,TLALPAN,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLZ. TLALPAN  NO.971,GRANJAS COAPA,14330,
71,1/4/23,PL/4166/EXP/ES/2015,3741,SERVICIO EL ESCUDO. S. A. DE C. V.,CIUDAD DE MÉXICO,IZTAPALAPA,46,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROLONGACION ARNESES NO. 550,SAN ANTONIO CULHUACAN,9800,
72,1/4/23,PL/5312/EXP/ES/2015,5043,INMOBILIARIA AJA GOMEZ. S. A. DE C. V.,CIUDAD DE MÉXICO,IZTAPALAPA,28,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EJE 6 SUR NO. 955,BARRIO SAN JOSE,9000,
